WMT
Shortable,Yes,LT Debt/Eq,0.42,Earnings,Feb 15 BMO,Payout,19.50%,Avg Volume,1.84M,Price,36.50
Recom,2.00,SMA20,0.50%,SMA50,4.80%,SMA200,20.81%,Volume,"239,147",Change,-0.90%
MORN
Index,-,P/E,58.29,EPS (ttm),4.90,Insider Own,30.60%,Shs Outstand,43.10M,Perf Week,-3.15%
Market Cap,12.70B,Forward P/E,-,EPS next Y,-,Insider Trans,-5.61%,Shs Float,24.98M,Perf Month,-9.60%
Income,212.10M,PEG,3.64,EPS next Q,-,Inst Own,54.50%,Short Float,1.50%,Perf Quarter,-9.30%
Sales,1.62B,P/S,7.85,EPS this Y,47.10%,Inst Trans,1.79%,Short Ratio,2.60,Perf Half Y,9.65%
Book/sh,32.15,P/B,8.88,EPS next Y,-,ROA,7.80%,Target Price,-,Perf Year,15.22%
Cash/sh,10.96,P/C,26.07,EPS next 5Y,16.00%,ROE,15.90%,52W Range,219.85 - 350.21,Perf YTD,-16.48%
Dividend,1.44,P/FCF,45.11,EPS past 5Y,11.60%,ROI,9.00%,52W High,-19.08%,Beta,1.19
Dividend %,0.50%,Quick Ratio,1.10,Sales past 5Y,12.00%,Gross Margin,59.30%,52W Low,28.90%,ATR,10.25
Employees,9272,Current Ratio,1.10,Sales Q/Q,20.10%,Oper. Margin,15.30%,RSI (14),41.31,Volatility,3.04% 3.76%
Optionable,Yes,Debt/Eq,0.00,EPS Q/Q,-36.00%,Profit Margin,13.10%,Rel Volume,0.42,Prev Close,285.63
Shortable,Yes,LT Debt/Eq,0.27,Earnings,Feb 24 AMC,Payout,25.20%,Avg Volume,144.09K,Price,283.38
Recom,-,SMA20,-0.94%,SMA50,-8.65%,SMA200,1.81%,Volume,"9,638",Change,-0.79%
VMW
Index,-,P/E,26.11,EPS (ttm),4.79,Insider Own,37.00%,Shs Outstand,419.46M,Perf Week,-4.56%
Market Cap,56.23B,Forward P/E,17.18,EPS next Y,7.28,Insider Trans,-0.01%,Shs Float,207.91M,Perf Month,1.78%
Income,2.02B,PEG,4.99,EPS next Q,1.98,Inst Own,32.00%,Short Float,2.58%,Perf Quarter,0.73%
Sales,12.61B,P/S,4.46,EPS this Y,-67.80%,Inst Trans,60.60%,Short Ratio,2.23,Perf Half Y,-3.27%
Book/sh,24.38,P/B,5.13,EPS next Y,1.10%,ROA,6.60%,Target Price,148.98,Perf Year,5.08%
Cash/sh,27.88,P/C,4.49,EPS next 5Y,5.23%,ROE,21.10%,52W Range,108.80 - 141.09,Perf YTD,7.95%
Dividend,-,P/FCF,13.39,EPS past 5Y,11.00%,ROI,14.60%,52W High,-12.21%,Beta,0.66
Dividend %,-,Quick Ratio,1.60,Sales past 5Y,10.70%,Gross Margin,82.40%,52W Low,13.84%,ATR,3.85
Employees,34000,Current Ratio,1.60,Sales Q/Q,11.30%,Oper. Margin,20.70%,RSI (14),44.69,Volatility,3.49% 2.91%
Optionable,Yes,Debt/Eq,1.05,EPS Q/Q,-7.90%,Profit Margin,16.10%,Rel Volume,0.66,Prev Close,125.09
Shortable,Yes,LT Debt/Eq,0.90,Earnings,Nov 23 AMC,Payout,0.00%,Avg Volume,2.40M,Price,123.86
Recom,2.30,SMA20,-3.03%,SMA50,2.03%,SMA200,-1.18%,Volume,"250,819",Change,-0.98%
